id,title,release_date,release_year,budget,revenue,runtime,popularity,vote_average,vote_count,original_language,genres,genre_count,in_collection,adult,status
426030,Finding Your Feet,2017-12-26,2017,7154497,15500000,111,1.6976,7.011,180,en,"Comedy, Drama, Family, Music, Romance",5,False,False,Released
426063,Nosferatu,2024-12-25,2024,50000000,181805645,133,13.4387,6.7,3592,en,"Horror, Fantasy",2,False,False,Released
426230,Band Aid,2017-06-02,2017,10000000,248370,91,2.4909,6.3,173,en,"Comedy, Drama, Music",3,False,False,Released
426338,Holy Camp!,2017-09-29,2017,3144622,2963886,109,0.8224,6.799,366,es,"Comedy, Romance",2,False,False,Released
426426,Roma,2018-11-21,2018,15000000,1140769,135,2.9042,7.621,4110,es,Drama,1,False,False,Released
426543,The Nutcracker and the Four Realms,2018-10-26,2018,120000000,173961069,99,4.7555,6.082,2234,en,"Family, Fantasy, Adventure",3,False,False,Released
426558,Force 2,2016-11-18,2016,6500000,6900000,123,1.1725,6.691,47,hi,"Action, Adventure, Crime",3,True,False,Released
426563,Holmes & Watson,2018-12-25,2018,42000000,40500000,90,2.5043,4.305,927,en,"Comedy, Mystery, Crime",3,False,False,Released
426613,The Miseducation of Cameron Post,2018-07-18,2018,900000,2019874,92,2.4716,6.903,1011,en,Drama,1,False,False,Released
427008,The Mountain II,2016-11-04,2016,670000,11378898,135,1.1015,7.515,197,tr,"War, Drama",2,True,False,Released
427641,Rampage,2018-04-11,2018,120000000,428028233,107,10.4214,6.447,7467,en,"Action, Adventure, Science Fiction",3,False,False,Released
427900,Home Again,2017-09-07,2017,12000000,27020284,97,2.907,6.1,1236,en,"Comedy, Drama, Romance",3,False,False,Released
428045,Iron Mask,2019-08-16,2019,49000000,8685794,121,6.4736,6.079,541,ru,"Action, Adventure, Family, Fantasy",4,True,False,Released
428078,Mortal Engines,2018-11-27,2018,100000000,83869818,128,7.4597,6.199,5067,en,"Adventure, Science Fiction",2,False,False,Released
428399,Cold Skin,2017-10-20,2017,9831962,737478,106,4.1801,6.274,705,en,"Horror, Fantasy, Drama",3,False,False,Released
428449,A Ghost Story,2017-04-24,2017,100000,1929659,93,4.1636,7.1,2483,en,"Drama, Fantasy, Romance",3,False,False,Released
428495,The Nile Hilton Incident,2017-06-19,2017,4250000,81089,111,1.2312,6.621,387,en,"Thriller, Drama, Crime",3,False,False,Released
428642,Ezra,2017-02-10,2017,1500000,7800000,147,0.6403,6.0,43,ml,"Horror, Thriller",2,False,False,Released
428658,The Great Father,2017-03-30,2017,9400000,9600000,147,0.875,6.1,31,ml,"Action, Crime, Mystery",3,False,False,Released
428836,Ophelia,2019-06-28,2019,12000000,242115,114,3.2636,7.1,600,en,"Drama, Romance, History",3,False,False,Released
429189,Wonder Wheel,2017-12-01,2017,25000000,15366466,101,2.8791,6.379,1357,en,"Drama, Romance",2,False,False,Released
429197,Vice,2018-12-25,2018,60000000,76100000,132,4.2765,7.018,3578,en,"Drama, Comedy",2,False,False,Released
429200,Good Time,2017-08-11,2017,2000000,3283369,102,4.4685,7.213,3091,en,"Crime, Thriller, Drama",3,False,False,Released
429202,Vox Lux,2018-09-07,2018,7000000,1300000,114,2.0801,5.8,527,en,"Drama, Music",2,False,False,Released
429203,The Old Man & the Gun,2018-09-27,2018,15800000,11277120,94,2.9357,6.449,1490,en,"Comedy, Crime, Drama",3,False,False,Released
429300,Adrift,2018-05-31,2018,35000000,59945012,96,4.1963,6.839,2688,en,"Thriller, Romance, Adventure",3,False,False,Released
429351,12 Strong,2018-01-18,2018,35000000,67450815,130,7.0154,6.357,3173,en,"War, Drama, Action, History",4,False,False,Released
429416,The Jesus Rolls,2019-10-17,2019,4500000,64648,85,1.4751,4.438,169,en,"Comedy, Crime, Drama",3,False,False,Released
429422,Capone,2020-06-26,2020,20600000,858281,103,3.7499,5.036,434,en,"Crime, Drama",2,False,False,Released
429450,Pandora,2016-12-07,2016,13938145,30169000,136,3.9534,7.539,506,ko,"Thriller, Drama, Action",3,False,False,Released
429471,Captive State,2019-03-15,2019,25000000,8808611,110,2.3614,5.652,1249,en,"Science Fiction, Action, Thriller",3,False,False,Released
429476,Hell Fest,2018-09-27,2018,5500000,18160930,89,2.6008,5.677,880,en,"Horror, Thriller",2,False,False,Released
429617,Spider-Man: Far From Home,2019-06-28,2019,160000000,1132723226,129,23.4307,7.396,16860,en,"Action, Adventure, Science Fiction",3,True,False,Released
429733,Mayhem,2017-11-10,2017,2500000,17366,87,2.7569,6.453,790,en,"Action, Comedy, Horror",3,False,False,Released
430040,The Hurricane Heist,2018-02-28,2018,35000000,32517248,103,4.058,5.7,1070,en,"Action, Adventure, Crime, Thriller",4,False,False,Released
430155,Coma,2020-01-01,2020,2250000,9500000,110,4.5002,6.395,619,ru,"Science Fiction, Adventure, Action",3,False,False,Released
430231,The Endless,2017-11-05,2017,1000000,956425,112,3.4344,6.33,1269,en,"Science Fiction, Horror, Thriller",3,False,False,Released
430263,"Have Fun, Vasya!",2017-02-16,2017,707503,4781454,90,0.9175,5.877,57,ru,Comedy,1,True,False,Released
430424,See You Up There,2017-10-25,2017,23000000,15100000,113,2.1729,7.8,1354,fr,"Drama, Crime, War",3,False,False,Released
430474,Deep,2017-05-11,2017,6000000,10972300,92,2.0312,6.0,153,en,"Animation, Family, Adventure",3,False,False,Released
430521,Take Off,2017-03-24,2017,1300000,3100000,139,0.5106,7.358,53,ml,"Drama, Thriller, War",3,False,False,Released
430727,303 Squadron,2018-08-31,2018,3694425,7694425,95,1.1283,5.862,123,pl,"War, Drama, History",3,False,False,Released
431017,Let the Sunshine In,2017-09-27,2017,2978000,4192590,94,0.8366,5.2,220,fr,"Comedy, Drama, Romance",3,False,False,Released
431435,Blockbuster,2017-07-13,2017,562918,123842,82,1.3145,4.9,25,ru,"Comedy, Crime",2,False,False,Released
431491,Bodied,2018-11-02,2018,15000000,113956,120,1.7482,7.25,128,en,"Drama, Comedy, Music",3,False,False,Released
431530,A Bad Moms Christmas,2017-08-04,2017,28000000,130560428,104,3.5518,6.315,2197,en,Comedy,1,True,False,Released
431580,Abominable,2019-09-19,2019,75000000,190304772,97,5.2544,7.449,2165,en,"Family, Animation, Adventure, Comedy, Fantasy",5,False,False,Released
431693,Spies in Disguise,2019-12-04,2019,100000000,171616764,102,6.1405,7.556,2956,en,"Animation, Action, Adventure, Comedy, Family",5,False,False,Released
432068,C'est la vie!,2017-10-04,2017,17200000,23800000,115,2.8006,7.017,1577,fr,Comedy,1,False,False,Released
432165,The Pagan King,2018-01-17,2018,2400000,18598,110,0.9903,6.4,79,lv,"History, Adventure, Action",3,False,False,Released
432301,Chappaquiddick,2018-04-06,2018,34000000,17904202,107,2.4562,6.092,284,en,"History, Drama, Thriller",3,False,False,Released
432527,Padmaavat,2018-01-25,2018,31000000,81673897,163,2.3576,6.918,306,hi,"Drama, History, Romance",3,False,False,Released
432583,Jomonte Suvisheshangal,2017-01-19,2017,1000000,6000000,157,0.4688,6.4,39,ml,"Comedy, Drama, Family",3,False,False,Released
432602,An Inconvenient Sequel: Truth to Power,2017-07-28,2017,1000000,5398976,100,1.8064,6.567,180,en,Documentary,1,True,False,Released
432641,Valley of Bones,2017-09-01,2017,3000000,168738,90,0.441,4.5,15,en,"Western, Crime, Thriller",3,False,False,Released
433327,Kirik Party,2016-12-30,2016,562680,7033500,165,0.5268,7.7,28,kn,"Comedy, Drama",2,False,False,Released
433356,The Ottoman Lieutenant,2017-03-28,2017,40000000,413844,111,2.9215,6.07,278,en,"Romance, Drama, War",3,False,False,Released
433694,Sgt. Stubby: An American Hero,2018-04-13,2018,25000000,4900000,85,2.346,7.896,211,en,"Animation, Adventure, Family, History, War",5,False,False,Released
433808,The Ritual,2017-10-11,2017,1000000,1786396,94,7.7315,6.271,3385,en,"Horror, Mystery",2,False,False,Released
434119,Confidential Assignment,2017-01-18,2017,8520000,56100000,125,3.2218,6.87,146,ko,"Action, Drama",2,True,False,Released
434245,The Stronghold,2017-10-12,2017,2000000,2745966,110,1.1061,7.182,234,uk,"Action, Adventure, Comedy, Family, Fantasy, History",6,False,False,Released
434273,Mr. Stein Goes Online,2017-02-17,2017,5000000,3358085,99,0.9322,6.0,211,fr,"Romance, Drama, Comedy",3,False,False,Released
434355,Taxi 5,2018-01-19,2018,20390000,64497208,102,5.6785,5.384,1080,fr,"Action, Comedy, Crime",3,True,False,Released
434358,Belle and Sebastian 3: The Last Chapter,2018-02-07,2018,13500000,33895230,97,1.254,6.534,189,fr,"Adventure, Family",2,True,False,Released
434395,Gautamiputra Satakarni,2017-01-12,2017,6000000,12000000,135,0.2295,5.6,13,te,"History, Drama, Action",3,False,False,Released
434555,The Possession of Hannah Grace,2018-11-29,2018,9500000,43000000,86,4.3597,5.631,1475,en,"Horror, Drama",2,False,False,Released
435410,Shatamanam Bhavati,2017-01-14,2017,1200000,8100000,135,0.594,6.3,12,te,"Drama, Family",2,False,False,Released
435577,The 12th Man,2017-12-25,2017,7806306,9567121,136,3.5221,7.133,611,no,"War, Drama",2,False,False,Released
435615,Possessor,2020-10-02,2020,2500000,911000,103,3.6768,6.384,1034,en,"Horror, Thriller, Science Fiction",3,False,False,Released
435800,Journey to the West: The Demons Strike Back,2017-01-28,2017,63900000,248805149,109,2.9777,5.872,133,zh,"Adventure, Fantasy, Action",3,True,False,Released
435901,About Love,2017-03-23,2017,2000000,182710,95,5.0932,5.4,32,ru,"Romance, Drama, Thriller",3,False,False,Released
436270,Black Adam,2022-10-19,2022,200000000,393452111,125,12.0805,6.812,6966,en,"Action, Adventure, Science Fiction",3,False,False,Released
436391,The Battleship Island,2017-07-26,2017,21000000,46183383,132,3.254,7.16,287,ko,"Action, History, Drama, War",4,False,False,Released
436830,Gold,2017-11-10,2017,7130000,1528185,103,1.1132,5.6,196,es,"Adventure, History, Drama, Action",4,False,False,Released
436969,The Suicide Squad,2021-07-28,2021,185000000,168717425,132,17.1068,7.462,9520,en,"Action, Comedy, Adventure",3,True,False,Released
437048,Hacking Bloggers,2016-11-10,2016,500000,119836,67,0.554,1.9,21,ru,"Comedy, Science Fiction, Adventure",3,False,False,Released
437068,A Taxi Driver,2017-08-02,2017,12820005,81927980,138,5.0491,8.035,1150,ko,"Action, Drama, History",3,False,False,Released
437103,1987: When the Day Comes,2017-12-27,2017,12308000,49380115,129,2.6586,8.1,177,ko,"Drama, History, Thriller",3,False,False,Released
437109,The Villainess,2017-06-08,2017,125000,8737458,129,3.1295,6.918,759,ko,"Action, Thriller",2,False,False,Released
